session,variant,event_index,kind,time,confirm_time,first_confirm_frame_time,onset_time,boundary_time,associated_track_id,fallback_reason,ratio,centroid_cm,frame_index
20260624_1_10次纵跳,associated,9,touch,7.163077400,7.221086500,7.219756400,,7.163077400,106,,0.125000000,49.400000000,7104
20260624_1_10次纵跳,associated,10,lift,7.512680200,7.512680200,7.511712300,,7.512680200,106,,0.000000000,,7396
20260624_1_10次纵跳,associated,11,touch,7.926252400,7.986024100,7.985692100,,7.926252400,120,,0.125000000,51.480000000,7869
20260624_1_10次纵跳,associated,12,lift,8.218662500,8.218662500,8.217678800,,8.218662500,120,,0.000000000,,8102
20260624_1_10次纵跳,associated,13,touch,8.649794900,8.672649600,8.672351000,,8.649794900,138,,0.125000000,41.080000000,8556
20260624_1_10次纵跳,associated,14,lift,8.992272800,8.992272800,8.990827800,,8.992272800,138,,0.000000000,,8875
20260624_1_10次纵跳,associated,15,touch,9.372681500,9.402846300,9.402209900,,9.372681500,151,,0.135416667,52.000000000,9286
20260624_1_10次纵跳,associated,16,lift,9.739728900,9.739728900,9.738725000,,9.739728900,151,,0.000000000,,9623
20260624_1_10次纵跳,associated,17,touch,10.158714700,10.215677000,10.214656300,,10.158714700,171,,0.177083333,56.160000000,10098
20260624_1_10次纵跳,associated,18,lift,10.539685700,10.539685700,10.538675100,,10.539685700,171,,0.000000000,,10422
20260624_1_10次纵跳,associated,19,touch,11.004895400,11.026688800,11.025990600,,11.004895400,190,,0.145833333,42.120000000,10908
20260624_1_10次纵跳,associated,20,lift,11.388671400,11.388671400,11.387613700,,11.388671400,190,,0.000000000,,11271
20260624_1_10次纵跳,associated,21,touch,11.901995300,11.909808400,11.909225400,,11.901995300,213,,0.229166667,47.320000000,11792
20260624_1_10次纵跳,onset,1,touch,4.089668300,4.137736700,4.136762600,4.089668300,3.671050700,53,,0.125000000,51.480000000,4021
20260624_1_10次纵跳,onset,2,lift,4.448320200,4.450754600,4.449900200,4.448320200,4.450754600,53,,0.000000000,,4334
20260624_1_10次纵跳,onset,3,touch,4.847740500,4.912752400,4.911747400,4.847740500,4.845808300,69,,0.135416667,49.920000000,4796
20260624_1_10次纵跳,onset,4,lift,5.197538700,5.197642100,5.197538700,5.197538700,5.197642100,69,,0.000000000,,5025
20260624_1_10次纵跳,onset,5,touch,5.606789300,5.645803500,5.644703900,5.606789300,5.605729600,80,,0.125000000,46.280000000,5529
20260624_1_10次纵跳,onset,6,lift,5.949722500,5.950706700,5.949722500,5.949722500,5.950706700,80,,0.000000000,,5834
20260624_1_10次纵跳,onset,7,touch,6.389788300,6.411746600,6.410731800,6.389788300,6.389788300,91,,0.125000000,37.960000000,6295
20260624_1_10次纵跳,onset,8,lift,6.774688400,6.777678400,6.776690800,6.774688400,6.777678400,91,,0.000000000,,6661
20260624_1_10次纵跳,onset,9,touch,7.164181100,7.221086500,7.219756400,7.164181100,7.163077400,106,,0.125000000,49.400000000,7104
20260624_1_10次纵跳,onset,10,lift,7.511712300,7.512680200,7.511712300,7.511712300,7.512680200,106,,0.000000000,,7396
20260624_1_10次纵跳,onset,11,touch,7.926252400,7.986024100,7.985692100,7.926252400,7.926252400,120,,0.125000000,51.480000000,7869
20260624_1_10次纵跳,onset,12,lift,8.217678800,8.218662500,8.217678800,8.217678800,8.218662500,120,,0.000000000,,8102
20260624_1_10次纵跳,onset,13,touch,8.649794900,8.672649600,8.672351000,8.649794900,8.649794900,138,,0.125000000,41.080000000,8556
20260624_1_10次纵跳,onset,14,lift,8.990827800,8.992272800,8.990827800,8.990827800,8.992272800,138,,0.000000000,,8875
20260624_1_10次纵跳,onset,15,touch,9.373773800,9.402846300,9.402209900,9.373773800,9.372681500,151,,0.135416667,52.000000000,9286
20260624_1_10次纵跳,onset,16,lift,9.738725000,9.739728900,9.738725000,9.738725000,9.739728900,151,,0.000000000,,9623
20260624_1_10次纵跳,onset,17,touch,10.159962900,10.215677000,10.214656300,10.159962900,10.158714700,171,,0.177083333,56.160000000,10098
20260624_1_10次纵跳,onset,18,lift,10.538675100,10.539685700,10.538675100,10.538675100,10.539685700,171,,0.000000000,,10422
20260624_1_10次纵跳,onset,19,touch,11.004895400,11.026688800,11.025990600,11.004895400,11.004895400,190,,0.145833333,42.120000000,10908
20260624_1_10次纵跳,onset,20,lift,11.387613700,11.388671400,11.387613700,11.387613700,11.388671400,190,,0.000000000,,11271
20260624_1_10次纵跳,onset,21,touch,11.834871700,11.909808400,11.909225400,11.834871700,11.901995300,213,,0.229166667,47.320000000,11792
20260624_2_10次纵跳,current,1,touch,3.580291200,3.580291200,3.579391600,,3.150229500,46,,0.135416667,46.800000000,3466
20260624_2_10次纵跳,current,2,lift,3.591223300,3.591223300,3.590291100,,3.591223300,46,,0.000000000,,3477
20260624_2_10次纵跳,current,3,touch,3.603928200,3.603928200,3.601266800,,3.150229500,46,,0.125000000,44.200000000,3488
20260624_2_10次纵跳,current,4,lift,3.898420100,3.898420100,3.897436700,,3.898420100,46,,0.000000000,,3784
20260624_2_10次纵跳,current,5,touch,4.285526600,4.285526600,4.283347900,,4.246281000,64,,0.125000000,47.320000000,4170
20260624_2_10次纵跳,current,6,lift,4.468408000,4.468408000,4.467819900,,4.468408000,64,,0.000000000,,4354
20260624_2_10次纵跳,current,7,touch,4.818824800,4.818824800,4.817269500,,4.801243300,74,,0.125000000,29.640000000,4704
20260624_2_10次纵跳,current,8,lift,5.048871500,5.048871500,5.047475500,,5.048871500,74,,0.000000000,,4934
20260624_2_10次纵跳,current,9,touch,5.428009700,5.428009700,5.426790700,,5.370872900,83,,0.125000000,45.240000000,5313
20260624_2_10次纵跳,current,10,lift,5.598255800,5.598255800,5.597273100,,5.598255800,83,,0.000000000,,5484
20260624_2_10次纵跳,current,11,touch,6.004176000,6.004176000,6.003422400,,5.943911600,96,,0.125000000,45.240000000,5889
20260624_2_10次纵跳,current,12,lift,6.163636800,6.163636800,6.161267800,,6.163636800,96,,0.000000000,,6048
20260624_2_10次纵跳,current,13,touch,6.533477900,6.533477900,6.532321900,,6.511172800,102,,0.135416667,52.000000000,6419
20260624_2_10次纵跳,current,14,lift,6.728797500,6.728797500,6.727263800,,6.728797500,102,,0.000000000,,6614
20260624_2_10次纵跳,current,15,touch,7.097935700,7.097935700,7.096349600,,7.085232100,115,,0.125000000,43.160000000,6982
20260624_2_10次纵跳,current,16,lift,7.285665900,7.285665900,7.283470000,,7.285665900,115,,0.000000000,,7169
20260624_2_10次纵跳,current,17,touch,7.666853200,7.666853200,7.665369100,,7.635269600,129,,0.135416667,49.920000000,7551
20260624_2_10次纵跳,current,18,lift,7.853409500,7.853409500,7.852847600,,7.853409500,129,,0.000000000,,7738
20260624_2_10次纵跳,current,19,touch,8.230213300,8.230213300,8.229597800,,8.204324700,138,,0.125000000,32.760000000,8115
20260624_2_10次纵跳,current,20,lift,8.397466500,8.397466500,8.396203100,,8.397466500,138,,0.000000000,,8282
20260624_2_10次纵跳,current,21,touch,8.771865700,8.771865700,8.770454600,,8.742316000,147,,0.125000000,44.200000000,8656
20260624_2_10次纵跳,current,22,lift,8.949313700,8.949313700,8.946885700,,8.949313700,147,,0.000000000,,8831
20260624_2_10次纵跳,compensated,1,touch,3.579391600,3.580291200,3.579391600,,3.150229500,46,,0.135416667,46.800000000,3466
20260624_2_10次纵跳,compensated,2,lift,3.590291100,3.591223300,3.590291100,,3.591223300,46,,0.000000000,,3477
20260624_2_10次纵跳,compensated,3,touch,3.601266800,3.603928200,3.601266800,,3.150229500,46,,0.125000000,44.200000000,3488
20260624_2_10次纵跳,compensated,4,lift,3.897436700,3.898420100,3.897436700,,3.898420100,46,,0.000000000,,3784
20260624_2_10次纵跳,compensated,5,touch,4.283347900,4.285526600,4.283347900,,4.246281000,64,,0.125000000,47.320000000,4170
20260624_2_10次纵跳,compensated,6,lift,4.467819900,4.468408000,4.467819900,,4.468408000,64,,0.000000000,,4354
20260624_2_10次纵跳,compensated,7,touch,4.817269500,4.818824800,4.817269500,,4.801243300,74,,0.125000000,29.640000000,4704
20260624_2_10次纵跳,compensated,8,lift,5.047475500,5.048871500,5.047475500,,5.048871500,74,,0.000000000,,4934
20260624_2_10次纵跳,compensated,9,touch,5.426790700,5.428009700,5.426790700,,5.370872900,83,,0.125000000,45.240000000,5313
20260624_2_10次纵跳,compensated,10,lift,5.597273100,5.598255800,5.597273100,,5.598255800,83,,0.000000000,,5484
20260624_2_10次纵跳,compensated,11,touch,6.003422400,6.004176000,6.003422400,,5.943911600,96,,0.125000000,45.240000000,5889
20260624_2_10次纵跳,compensated,12,lift,6.161267800,6.163636800,6.161267800,,6.163636800,96,,0.000000000,,6048
20260624_2_10次纵跳,compensated,13,touch,6.532321900,6.533477900,6.532321900,,6.511172800,102,,0.135416667,52.000000000,6419
20260624_2_10次纵跳,compensated,14,lift,6.727263800,6.728797500,6.727263800,,6.728797500,102,,0.000000000,,6614
20260624_2_10次纵跳,compensated,15,touch,7.096349600,7.097935700,7.096349600,,7.085232100,115,,0.125000000,43.160000000,6982
20260624_2_10次纵跳,compensated,16,lift,7.283470000,7.285665900,7.283470000,,7.285665900,115,,0.000000000,,7169
20260624_2_10次纵跳,compensated,17,touch,7.665369100,7.666853200,7.665369100,,7.635269600,129,,0.135416667,49.920000000,7551
20260624_2_10次纵跳,compensated,18,lift,7.852847600,7.853409500,7.852847600,,7.853409500,129,,0.000000000,,7738
20260624_2_10次纵跳,compensated,19,touch,8.229597800,8.230213300,8.229597800,,8.204324700,138,,0.125000000,32.760000000,8115
20260624_2_10次纵跳,compensated,20,lift,8.396203100,8.397466500,8.396203100,,8.397466500,138,,0.000000000,,8282
20260624_2_10次纵跳,compensated,21,touch,8.770454600,8.771865700,8.770454600,,8.742316000,147,,0.125000000,44.200000000,8656
20260624_2_10次纵跳,compensated,22,lift,8.946885700,8.949313700,8.946885700,,8.949313700,147,,0.000000000,,8831
20260624_2_10次纵跳,touch_associated,1,touch,3.150229500,3.580291200,3.579391600,,3.150229500,46,,0.135416667,46.800000000,3466
