session,variant,pairing_mode,jump_index,touch_start_s,lift_s,landing_s,contact_time_s,air_time_s
20260624_1_10次纵跳,touch_associated,raw_triplet,1,3.671050700,4.449900200,4.845808300,0.778849500,0.395908100
20260624_1_10次纵跳,touch_associated,raw_triplet,2,4.845808300,5.197538700,5.605729600,0.351730400,0.408190900
20260624_1_10次纵跳,touch_associated,raw_triplet,3,5.605729600,5.949722500,6.389788300,0.343992900,0.440065800
20260624_1_10次纵跳,touch_associated,raw_triplet,4,6.389788300,6.776690800,7.163077400,0.386902500,0.386386600
20260624_1_10次纵跳,touch_associated,raw_triplet,5,7.163077400,7.511712300,7.926252400,0.348634900,0.414540100
20260624_1_10次纵跳,touch_associated,raw_triplet,6,7.926252400,8.217678800,8.649794900,0.291426400,0.432116100
20260624_1_10次纵跳,touch_associated,raw_triplet,7,8.649794900,8.990827800,9.372681500,0.341032900,0.381853700
20260624_1_10次纵跳,touch_associated,raw_triplet,8,9.372681500,9.738725000,10.158714700,0.366043500,0.419989700
20260624_1_10次纵跳,touch_associated,raw_triplet,9,10.158714700,10.538675100,11.004895400,0.379960400,0.466220300
20260624_1_10次纵跳,touch_associated,raw_triplet,10,11.004895400,11.387613700,11.901995300,0.382718300,0.514381600
20260624_1_10次纵跳,lift_associated,production_equivalent,1,4.911747400,5.197642100,4.911747400,0.285894700,0.460992800
20260624_1_10次纵跳,lift_associated,production_equivalent,2,5.644703900,5.950706700,5.644703900,0.306002800,0.447061800
20260624_1_10次纵跳,lift_associated,production_equivalent,3,6.410731800,6.777678400,6.410731800,0.366946600,0.460025100
20260624_1_10次纵跳,lift_associated,production_equivalent,4,7.219756400,7.512680200,7.219756400,0.292923800,0.442078000
20260624_1_10次纵跳,lift_associated,production_equivalent,5,7.985692100,8.218662500,7.985692100,0.232970400,0.473011900
20260624_1_10次纵跳,lift_associated,production_equivalent,6,8.672351000,8.992272800,8.672351000,0.319921800,0.453688500
20260624_1_10次纵跳,lift_associated,production_equivalent,7,9.402209900,9.739728900,9.402209900,0.337519000,0.409937100
20260624_1_10次纵跳,lift_associated,production_equivalent,8,10.214656300,10.539685700,10.214656300,0.325029400,0.474927400
20260624_1_10次纵跳,lift_associated,production_equivalent,9,11.025990600,11.388671400,11.025990600,0.362680800,0.486304900
20260624_1_10次纵跳,lift_associated,production_equivalent,10,,11.388671400,11.909225400,,0.520554000
20260624_1_10次纵跳,lift_associated,raw_triplet,1,4.136762600,4.450754600,4.911747400,0.313992000,0.460992800
20260624_1_10次纵跳,lift_associated,raw_triplet,2,4.911747400,5.197642100,5.644703900,0.285894700,0.447061800
20260624_1_10次纵跳,lift_associated,raw_triplet,3,5.644703900,5.950706700,6.410731800,0.306002800,0.460025100
20260624_1_10次纵跳,lift_associated,raw_triplet,4,6.410731800,6.777678400,7.219756400,0.366946600,0.442078000
20260624_1_10次纵跳,lift_associated,raw_triplet,5,7.219756400,7.512680200,7.985692100,0.292923800,0.473011900
20260624_1_10次纵跳,lift_associated,raw_triplet,6,7.985692100,8.218662500,8.672351000,0.232970400,0.453688500
20260624_1_10次纵跳,lift_associated,raw_triplet,7,8.672351000,8.992272800,9.402209900,0.319921800,0.409937100
20260624_1_10次纵跳,lift_associated,raw_triplet,8,9.402209900,9.739728900,10.214656300,0.337519000,0.474927400
20260624_1_10次纵跳,lift_associated,raw_triplet,9,10.214656300,10.539685700,11.025990600,0.325029400,0.486304900
20260624_1_10次纵跳,lift_associated,raw_triplet,10,11.025990600,11.388671400,11.909225400,0.362680800,0.520554000
20260624_1_10次纵跳,associated,production_equivalent,1,4.845808300,5.197642100,4.845808300,0.351833800,0.395053700
20260624_1_10次纵跳,associated,production_equivalent,2,5.605729600,5.950706700,5.605729600,0.344977100,0.408087500
20260624_1_10次纵跳,associated,production_equivalent,3,6.389788300,6.777678400,6.389788300,0.387890100,0.439081600
20260624_1_10次纵跳,associated,production_equivalent,4,7.163077400,7.512680200,7.163077400,0.349602800,0.385399000
20260624_1_10次纵跳,associated,production_equivalent,5,7.926252400,8.218662500,7.926252400,0.292410100,0.413572200
20260624_1_10次纵跳,associated,production_equivalent,6,8.649794900,8.992272800,8.649794900,0.342477900,0.431132400
20260624_1_10次纵跳,associated,production_equivalent,7,9.372681500,9.739728900,9.372681500,0.367047400,0.380408700
20260624_1_10次纵跳,associated,production_equivalent,8,10.158714700,10.539685700,10.158714700,0.380971000,0.418985800
20260624_1_10次纵跳,associated,production_equivalent,9,11.004895400,11.388671400,11.004895400,0.383776000,0.465209700
20260624_1_10次纵跳,associated,production_equivalent,10,,11.388671400,11.901995300,,0.513323900
20260624_1_10次纵跳,associated,raw_triplet,1,3.671050700,4.450754600,4.845808300,0.779703900,0.395053700
20260624_1_10次纵跳,associated,raw_triplet,2,4.845808300,5.197642100,5.605729600,0.351833800,0.408087500
20260624_1_10次纵跳,associated,raw_triplet,3,5.605729600,5.950706700,6.389788300,0.344977100,0.439081600
20260624_1_10次纵跳,associated,raw_triplet,4,6.389788300,6.777678400,7.163077400,0.387890100,0.385399000
20260624_1_10次纵跳,associated,raw_triplet,5,7.163077400,7.512680200,7.926252400,0.349602800,0.413572200
20260624_1_10次纵跳,associated,raw_triplet,6,7.926252400,8.218662500,8.649794900,0.292410100,0.431132400
20260624_1_10次纵跳,associated,raw_triplet,7,8.649794900,8.992272800,9.372681500,0.342477900,0.380408700
20260624_1_10次纵跳,associated,raw_triplet,8,9.372681500,9.739728900,10.158714700,0.367047400,0.418985800
20260624_1_10次纵跳,associated,raw_triplet,9,10.158714700,10.539685700,11.004895400,0.380971000,0.465209700
20260624_1_10次纵跳,associated,raw_triplet,10,11.004895400,11.388671400,11.901995300,0.383776000,0.513323900
20260624_1_10次纵跳,onset,production_equivalent,1,4.847740500,5.197538700,4.847740500,0.349798200,0.399420300
20260624_1_10次纵跳,onset,production_equivalent,2,5.606789300,5.949722500,5.606789300,0.342933200,0.409250600
20260624_1_10次纵跳,onset,production_equivalent,3,6.389788300,6.774688400,6.389788300,0.384900100,0.440065800
20260624_1_10次纵跳,onset,production_equivalent,4,7.164181100,7.511712300,7.164181100,0.347531200,0.389492700
20260624_1_10次纵跳,onset,production_equivalent,5,7.926252400,8.217678800,7.926252400,0.291426400,0.414540100
20260624_1_10次纵跳,onset,production_equivalent,6,8.649794900,8.990827800,8.649794900,0.341032900,0.432116100
20260624_1_10次纵跳,onset,production_equivalent,7,9.373773800,9.738725000,9.373773800,0.364951200,0.382946000
20260624_1_10次纵跳,onset,production_equivalent,8,10.159962900,10.538675100,10.159962900,0.378712200,0.421237900
20260624_1_10次纵跳,onset,production_equivalent,9,11.004895400,11.387613700,11.004895400,0.382718300,0.466220300
20260624_1_10次纵跳,onset,production_equivalent,10,,11.387613700,11.834871700,,0.447258000
20260624_1_10次纵跳,onset,raw_triplet,1,4.089668300,4.448320200,4.847740500,0.358651900,0.399420300
20260624_1_10次纵跳,onset,raw_triplet,2,4.847740500,5.197538700,5.606789300,0.349798200,0.409250600
20260624_1_10次纵跳,onset,raw_triplet,3,5.606789300,5.949722500,6.389788300,0.342933200,0.440065800
20260624_1_10次纵跳,onset,raw_triplet,4,6.389788300,6.774688400,7.164181100,0.384900100,0.389492700
20260624_1_10次纵跳,onset,raw_triplet,5,7.164181100,7.511712300,7.926252400,0.347531200,0.414540100
20260624_1_10次纵跳,onset,raw_triplet,6,7.926252400,8.217678800,8.649794900,0.291426400,0.432116100
20260624_1_10次纵跳,onset,raw_triplet,7,8.649794900,8.990827800,9.373773800,0.341032900,0.382946000
20260624_1_10次纵跳,onset,raw_triplet,8,9.373773800,9.738725000,10.159962900,0.364951200,0.421237900
20260624_1_10次纵跳,onset,raw_triplet,9,10.159962900,10.538675100,11.004895400,0.378712200,0.466220300
20260624_1_10次纵跳,onset,raw_triplet,10,11.004895400,11.387613700,11.834871700,0.382718300,0.447258000
20260624_2_10次纵跳,current,production_equivalent,1,3.603928200,3.898420100,3.603928200,0.294491900,0.012704900
20260624_2_10次纵跳,current,production_equivalent,2,4.285526600,4.468408000,4.285526600,0.182881400,0.387106500
20260624_2_10次纵跳,current,production_equivalent,3,4.818824800,5.048871500,4.818824800,0.230046700,0.350416800
20260624_2_10次纵跳,current,production_equivalent,4,5.428009700,5.598255800,5.428009700,0.170246100,0.379138200
20260624_2_10次纵跳,current,production_equivalent,5,6.004176000,6.163636800,6.004176000,0.159460800,0.405920200
20260624_2_10次纵跳,current,production_equivalent,6,6.533477900,6.728797500,6.533477900,0.195319600,0.369841100
20260624_2_10次纵跳,current,production_equivalent,7,7.097935700,7.285665900,7.097935700,0.187730200,0.369138200
20260624_2_10次纵跳,current,production_equivalent,8,7.666853200,7.853409500,7.666853200,0.186556300,0.381187300
20260624_2_10次纵跳,current,production_equivalent,9,8.230213300,8.397466500,8.230213300,0.167253200,0.376803800
20260624_2_10次纵跳,current,production_equivalent,10,8.771865700,8.949313700,8.771865700,0.177448000,0.374399200
20260624_2_10次纵跳,current,raw_triplet,1,3.580291200,3.591223300,3.603928200,0.010932100,0.012704900
20260624_2_10次纵跳,current,raw_triplet,2,3.603928200,3.898420100,4.285526600,0.294491900,0.387106500
20260624_2_10次纵跳,current,raw_triplet,3,4.285526600,4.468408000,4.818824800,0.182881400,0.350416800
20260624_2_10次纵跳,current,raw_triplet,4,4.818824800,5.048871500,5.428009700,0.230046700,0.379138200
20260624_2_10次纵跳,current,raw_triplet,5,5.428009700,5.598255800,6.004176000,0.170246100,0.405920200
20260624_2_10次纵跳,current,raw_triplet,6,6.004176000,6.163636800,6.533477900,0.159460800,0.369841100
20260624_2_10次纵跳,current,raw_triplet,7,6.533477900,6.728797500,7.097935700,0.195319600,0.369138200
20260624_2_10次纵跳,current,raw_triplet,8,7.097935700,7.285665900,7.666853200,0.187730200,0.381187300
20260624_2_10次纵跳,current,raw_triplet,9,7.666853200,7.853409500,8.230213300,0.186556300,0.376803800
20260624_2_10次纵跳,current,raw_triplet,10,8.230213300,8.397466500,8.771865700,0.167253200,0.374399200
20260624_2_10次纵跳,compensated,production_equivalent,1,3.601266800,3.897436700,3.601266800,0.296169900,0.010975700
20260624_2_10次纵跳,compensated,production_equivalent,2,4.283347900,4.467819900,4.283347900,0.184472000,0.385911200
20260624_2_10次纵跳,compensated,production_equivalent,3,4.817269500,5.047475500,4.817269500,0.230206000,0.349449600
20260624_2_10次纵跳,compensated,production_equivalent,4,5.426790700,5.597273100,5.426790700,0.170482400,0.379315200
20260624_2_10次纵跳,compensated,production_equivalent,5,6.003422400,6.161267800,6.003422400,0.157845400,0.406149300
20260624_2_10次纵跳,compensated,production_equivalent,6,6.532321900,6.727263800,6.532321900,0.194941900,0.371054100
20260624_2_10次纵跳,compensated,production_equivalent,7,7.096349600,7.283470000,7.096349600,0.187120400,0.369085800
20260624_2_10次纵跳,compensated,production_equivalent,8,7.665369100,7.852847600,7.665369100,0.187478500,0.381899100
20260624_2_10次纵跳,compensated,production_equivalent,9,8.229597800,8.396203100,8.229597800,0.166605300,0.376750200
20260624_2_10次纵跳,compensated,production_equivalent,10,8.770454600,8.946885700,8.770454600,0.176431100,0.374251500
20260624_2_10次纵跳,compensated,raw_triplet,1,3.579391600,3.590291100,3.601266800,0.010899500,0.010975700
20260624_2_10次纵跳,compensated,raw_triplet,2,3.601266800,3.897436700,4.283347900,0.296169900,0.385911200
20260624_2_10次纵跳,compensated,raw_triplet,3,4.283347900,4.467819900,4.817269500,0.184472000,0.349449600
20260624_2_10次纵跳,compensated,raw_triplet,4,4.817269500,5.047475500,5.426790700,0.230206000,0.379315200
20260624_2_10次纵跳,compensated,raw_triplet,5,5.426790700,5.597273100,6.003422400,0.170482400,0.406149300
20260624_2_10次纵跳,compensated,raw_triplet,6,6.003422400,6.161267800,6.532321900,0.157845400,0.371054100
20260624_2_10次纵跳,compensated,raw_triplet,7,6.532321900,6.727263800,7.096349600,0.194941900,0.369085800
20260624_2_10次纵跳,compensated,raw_triplet,8,7.096349600,7.283470000,7.665369100,0.187120400,0.381899100
20260624_2_10次纵跳,compensated,raw_triplet,9,7.665369100,7.852847600,8.229597800,0.187478500,0.376750200
20260624_2_10次纵跳,compensated,raw_triplet,10,8.229597800,8.396203100,8.770454600,0.166605300,0.374251500
20260624_2_10次纵跳,touch_associated,production_equivalent,1,3.150229500,3.897436700,4.246281000,0.747207200,0.348844300
20260624_2_10次纵跳,touch_associated,production_equivalent,2,4.246281000,4.467819900,4.801243300,0.221538900,0.333423400
20260624_2_10次纵跳,touch_associated,production_equivalent,3,4.801243300,5.047475500,5.370872900,0.246232200,0.323397400
20260624_2_10次纵跳,touch_associated,production_equivalent,4,5.370872900,5.597273100,5.943911600,0.226400200,0.346638500
20260624_2_10次纵跳,touch_associated,production_equivalent,5,5.943911600,6.161267800,6.511172800,0.217356200,0.349905000
20260624_2_10次纵跳,touch_associated,production_equivalent,6,6.511172800,6.727263800,7.085232100,0.216091000,0.357968300
20260624_2_10次纵跳,touch_associated,production_equivalent,7,7.085232100,7.283470000,7.635269600,0.198237900,0.351799600
20260624_2_10次纵跳,touch_associated,production_equivalent,8,7.635269600,7.852847600,8.204324700,0.217578000,0.351477100
20260624_2_10次纵跳,touch_associated,production_equivalent,9,8.204324700,8.396203100,8.742316000,0.191878400,0.346112900
20260624_2_10次纵跳,touch_associated,production_equivalent,10,8.742316000,8.946885700,,0.204569700,
20260624_2_10次纵跳,touch_associated,raw_triplet,1,3.150229500,3.897436700,4.246281000,0.747207200,0.348844300
20260624_2_10次纵跳,touch_associated,raw_triplet,2,4.246281000,4.467819900,4.801243300,0.221538900,0.333423400
20260624_2_10次纵跳,touch_associated,raw_triplet,3,4.801243300,5.047475500,5.370872900,0.246232200,0.323397400
20260624_2_10次纵跳,touch_associated,raw_triplet,4,5.370872900,5.597273100,5.943911600,0.226400200,0.346638500
20260624_2_10次纵跳,touch_associated,raw_triplet,5,5.943911600,6.161267800,6.511172800,0.217356200,0.349905000
20260624_2_10次纵跳,touch_associated,raw_triplet,6,6.511172800,6.727263800,7.085232100,0.216091000,0.357968300
20260624_2_10次纵跳,touch_associated,raw_triplet,7,7.085232100,7.283470000,7.635269600,0.198237900,0.351799600
20260624_2_10次纵跳,touch_associated,raw_triplet,8,7.635269600,7.852847600,8.204324700,0.217578000,0.351477100
20260624_2_10次纵跳,touch_associated,raw_triplet,9,8.204324700,8.396203100,8.742316000,0.191878400,0.346112900
20260624_2_10次纵跳,lift_associated,production_equivalent,1,3.601266800,3.898420100,3.601266800,0.297153300,0.010043500
20260624_2_10次纵跳,lift_associated,production_equivalent,2,4.283347900,4.468408000,4.283347900,0.185060100,0.384927800
20260624_2_10次纵跳,lift_associated,production_equivalent,3,4.817269500,5.048871500,4.817269500,0.231602000,0.348861500
20260624_2_10次纵跳,lift_associated,production_equivalent,4,5.426790700,5.598255800,5.426790700,0.171465100,0.377919200
20260624_2_10次纵跳,lift_associated,production_equivalent,5,6.003422400,6.163636800,6.003422400,0.160214400,0.405166600
20260624_2_10次纵跳,lift_associated,production_equivalent,6,6.532321900,6.728797500,6.532321900,0.196475600,0.368685100
20260624_2_10次纵跳,lift_associated,production_equivalent,7,7.096349600,7.285665900,7.096349600,0.189316300,0.367552100
20260624_2_10次纵跳,lift_associated,production_equivalent,8,7.665369100,7.853409500,7.665369100,0.188040400,0.379703200
20260624_2_10次纵跳,lift_associated,production_equivalent,9,8.229597800,8.397466500,8.229597800,0.167868700,0.376188300
20260624_2_10次纵跳,lift_associated,production_equivalent,10,8.770454600,8.949313700,8.770454600,0.178859100,0.372988100
20260624_2_10次纵跳,lift_associated,raw_triplet,1,3.579391600,3.591223300,3.601266800,0.011831700,0.010043500
20260624_2_10次纵跳,lift_associated,raw_triplet,2,3.601266800,3.898420100,4.283347900,0.297153300,0.384927800
